customer_id,name,email,phone,city,state,signup_date
1,Aryan Maharaj,udantdewan@example.net,+918196001338,Kishanganj,Gujarat,2025-05-26
2,Thomas Sen,abeer26@example.com,02351161559,Varanasi,Telangana,2024-11-07
3,Kritika Brar,janaki93@example.net,+910341316475,Uluberia,Kerala,2024-04-27
4,Ekbal Garg,nihalshere@example.com,08350305641,Tezpur,Tamil Nadu,2024-07-18
5,Xalak Randhawa,qdhar@example.org,+918849696532,Mysore,Tripura,2023-12-23
6,Michael Dutta,ybhatt@example.com,7848018451,Raebareli,Goa,2024-11-03
7,Adya Tella,yashicacherian@example.net,08932528809,Unnao,Andhra Pradesh,2024-02-11
8,Damyanti Khatri,khoslafarhan@example.org,7182278248,Rajpur Sonarpur,Nagaland,2025-06-25
9,Devika Rastogi,raksha87@example.org,+913150983930,Allahabad,Haryana,2024-01-08
10,Ganga Bobal,aryasunder@example.org,2997376311,Raichur,Maharashtra,2024-10-01
11,Chatura Chaudhari,rauharinakshi@example.org,+913387262473,Mango,Uttar Pradesh,2025-09-16
12,Chandresh Zachariah,chanderwarjas@example.org,07736026064,Baranagar,Maharashtra,2025-05-11
13,Mohammed Gupta,teerth09@example.net,0500978820,Gaya,Assam,2025-02-21
14,Wahab Raval,koshybalveer@example.net,+916998543534,Mira-Bhayandar,Sikkim,2025-04-01
15,Tanvi Mutti,andratara@example.net,1183842513,Anantapuram,Goa,2024-10-22
16,Abhiram Mistry,desaiaishani@example.org,+918244935348,Chandrapur,West Bengal,2023-12-26
17,Pallavi Malhotra,aggarwalgauri@example.org,4278680112,Uluberia,Odisha,2025-01-19
18,Qushi Datta,morarjanya@example.org,03315869232,Haridwar,Andhra Pradesh,2024-04-04
19,Nisha Kothari,nathaniel16@example.org,03375433036,Alwar,West Bengal,2024-01-09
20,Indali Upadhyay,vyadav@example.org,+914294019655,Medininagar,Mizoram,2024-02-14
21,Ranveer Kumar,sarinaarav@example.net,3561595148,Alappuzha,Karnataka,2024-09-24
22,Joshua Handa,rraghavan@example.net,+919946804436,Kirari Suleman Nagar,Manipur,2024-10-25
23,Yasti Solanki,fradomander@example.net,9513433200,Fatehpur,Punjab,2025-09-07
24,Tamanna Sachdeva,leenatalwar@example.com,+912016328708,Bhilai,Manipur,2024-02-28
25,Edhitha Savant,ksehgal@example.net,07434873471,Noida,Himachal Pradesh,2024-08-03
26,Faris Devi,vihaanrajagopal@example.net,+913166587603,Pali,Tripura,2025-02-12
27,Lajita Sood,pandeychanchal@example.com,08893734670,Naihati,Sikkim,2025-04-27
28,Noah Sibal,aviramesh@example.net,0162720465,Malda,Karnataka,2024-08-05
29,Arunima Sama,finn70@example.net,0531003309,Mathura,Chhattisgarh,2024-11-18
30,Tejas Shroff,jyoti29@example.net,1241904966,Aurangabad,Odisha,2025-05-06
31,Harsh Mitra,barmanidika@example.net,05185067165,Jamnagar,Maharashtra,2024-04-01
32,Veda Shroff,uloyal@example.org,+914737996507,South Dumdum,Meghalaya,2024-04-29
33,Aarna Oak,anya80@example.net,+911367837770,Durg,Haryana,2024-09-26
34,Damini Pillay,wwali@example.com,8557444313,Jamshedpur,Telangana,2025-01-06
35,Rehaan Kalita,umalhotra@example.net,9413435240,Panipat,Arunachal Pradesh,2023-12-29
36,Jonathan Swaminathan,arorabhavani@example.com,07520471167,Gangtok,Rajasthan,2025-05-03
37,Max Dixit,frederick31@example.net,09993867749,Farrukhabad,Odisha,2025-03-13
38,Hardik Johal,aishanibumb@example.org,+912812067974,Ahmednagar,Jharkhand,2025-05-19
39,Sudiksha Bobal,aishanihora@example.com,+918324210249,Bahraich,Bihar,2024-11-15
40,Neha Magar,fsarma@example.net,+916594013990,Gangtok,Arunachal Pradesh,2025-07-01
41,Upma Venkataraman,lmall@example.net,07175655125,Shimla,Jharkhand,2025-04-14
42,Balhaar Sha,murtyzayyan@example.com,+916808760385,Mango,Tripura,2023-12-27
43,Amara Deep,raksha71@example.org,9324808613,Surendranagar Dudhrej,Bihar,2025-04-03
44,Wishi Manne,ojasvi77@example.org,08263982146,Guna,Himachal Pradesh,2025-08-15
45,Barkha Misra,cdixit@example.net,05588675339,Muzaffarpur,West Bengal,2025-07-11
46,Caleb Nadkarni,yraj@example.net,2702895171,Kanpur,Telangana,2024-03-07
47,Mohammed Borde,vlanka@example.net,6158657809,Noida,Rajasthan,2025-05-01
48,Utkarsh Chana,wchaudhari@example.net,1724005045,Chinsurah,Chhattisgarh,2024-05-24
49,Pranit Garde,farhanraja@example.net,3792374740,Tumkur,Sikkim,2025-01-14
50,Ethan Sathe,chandani64@example.com,03671369594,Lucknow,Uttarakhand,2025-04-11
